rowid,symbol,tf,open_time_ms,o,h,l,c,v,convention
434979,MNQ,1m,1788336660000,29086.5,29088.5,29071.5,29074.5,596.0,epoch_floor
434980,MNQ,1m,1788336720000,29074.25,29079.5,29070.0,29079.0,408.0,epoch_floor
434981,MNQ,1m,1788336780000,29078.25,29079.25,29075.0,29078.5,266.0,epoch_floor
434982,MNQ,1m,1788336840000,29078.0,29080.5,29068.25,29074.5,570.0,epoch_floor
434983,MNQ,1m,1788336900000,29074.0,29088.5,29072.5,29073.25,700.0,epoch_floor
434984,MNQ,1m,1788336960000,29073.0,29081.5,29072.75,29078.0,504.0,epoch_floor
434985,MNQ,1m,1788337020000,29077.5,29078.25,29070.25,29075.0,237.0,epoch_floor
434986,MNQ,1m,1788337080000,29075.25,29076.5,29067.25,29069.25,334.0,epoch_floor
434987,MNQ,1m,1788337140000,29068.25,29071.75,29056.0,29057.0,688.0,epoch_floor
434988,MNQ,1m,1788337200000,29057.5,29062.0,29049.75,29051.5,1093.0,epoch_floor
434989,MNQ,1m,1788337260000,29051.0,29051.75,29038.75,29044.5,1056.0,epoch_floor
434990,MNQ,1m,1788337320000,29045.5,29054.5,29045.5,29052.5,595.0,epoch_floor
434991,MNQ,1m,1788337380000,29052.5,29055.75,29048.75,29050.0,322.0,epoch_floor
434992,MNQ,1m,1788337440000,29050.5,29051.5,29043.0,29046.0,539.0,epoch_floor
434993,MNQ,1m,1788337500000,29046.0,29050.0,29040.5,29040.5,379.0,epoch_floor
434994,MNQ,1m,1788337560000,29041.25,29051.5,29041.0,29049.5,333.0,epoch_floor
434995,MNQ,1m,1788337620000,29049.75,29060.5,29049.25,29058.75,631.0,epoch_floor
434996,MNQ,1m,1788337680000,29058.75,29062.0,29049.5,29051.25,680.0,epoch_floor
434997,MNQ,1m,1788337740000,29051.0,29057.0,29045.5,29052.0,351.0,epoch_floor
434998,MNQ,1m,1788337800000,29052.5,29062.25,29046.0,29060.25,423.0,epoch_floor
434999,MNQ,1m,1788337860000,29060.0,29068.0,29053.5,29056.5,851.0,epoch_floor
435000,MNQ,1m,1788337920000,29057.0,29068.75,29055.0,29055.0,904.0,epoch_floor
435001,MNQ,1m,1788337980000,29055.25,29063.0,29050.75,29052.5,560.0,epoch_floor
435002,MNQ,1m,1788338040000,29053.25,29056.5,29047.75,29049.5,430.0,epoch_floor
435003,MNQ,1m,1788338100000,29049.5,29050.5,29036.0,29046.5,1045.0,epoch_floor
435004,MNQ,1m,1788338160000,29046.5,29057.25,29044.0,29048.5,692.0,epoch_floor
435005,MNQ,1m,1788338220000,29048.5,29056.5,29047.0,29055.0,406.0,epoch_floor
435006,MNQ,1m,1788338280000,29054.5,29055.0,29042.5,29045.5,514.0,epoch_floor
435007,MNQ,1m,1788338340000,29046.5,29055.5,29045.5,29048.0,365.0,epoch_floor
435008,MNQ,1m,1788338400000,29048.25,29054.75,29045.5,29049.5,441.0,epoch_floor
