dimension,cell,n,W,L,F,sum_usd,mean_usd,mean_normal95_lo,mean_normal95_hi,win_decided,win_rate,wilson_lo,wilson_hi,R_n,R_mean,R_p50,hold_p25,hold_p50,hold_p75,days,verdict,ids,R_ids
hour,23,1,0,1,0,-27.0,-27.0,,,1,0.0,0.0,0.7934567085261071,0,,,2.2737666666666665,2.2737666666666665,2.2737666666666665,1,NO VERDICT: n<30,553,
hour,3,2,1,1,0,40.5,20.25,-210.54,251.04,2,0.5,0.09452865480086611,0.905471345199134,0,,,87.46824166666666,93.38701666666665,99.30579166666666,2,NO VERDICT: n<30,"521,528",
hour,4,2,1,1,0,99.0,49.5,-182.75999999999996,281.76,2,0.5,0.09452865480086611,0.905471345199134,0,,,19.085066666666666,25.525733333333335,31.9664,2,NO VERDICT: n<30,"555,564",
hour,5,4,2,2,0,137.0,34.25,-97.00202842877005,165.50202842877005,4,0.5,0.15003570882017145,0.8499642911798285,1,2.466666666666667,2.466666666666667,34.6719875,48.74801666666667,55.705195833333335,4,NO VERDICT: n<30,"529,540,565,582",582
hour,6,5,1,4,0,-208.5,-41.7,-88.10959667999711,4.709596679997112,5,0.2,0.036223160969787456,0.6244717358814612,0,,,21.70805,25.314016666666667,76.30096666666667,4,NO VERDICT: n<30,"541,556,557,563,583",
hour,7,4,0,4,0,-180.0,-45.0,-65.52158375954448,-24.478416240455516,4,0.0,0.0,0.48990002040399916,1,-1.0,-1.0,8.726845833333332,13.056033333333334,16.257220833333335,4,NO VERDICT: n<30,"522,558,568,588",568
hour,8,4,2,1,1,21.5,5.375,-103.23224081907861,113.98224081907861,3,0.6666666666666666,0.20765495512648788,0.9385096847238393,1,2.2083333333333335,2.2083333333333335,1.395,4.1494333333333335,14.744825,4,NO VERDICT: n<30,"531,542,569,584",584
hour,9,9,3,6,0,-183.5,-20.38888888888889,-120.05806580512761,79.28028802734984,9,0.3333333333333333,0.12058159868274292,0.6458026525009103,3,-0.5399610136452242,-1.0,15.34565,16.166966666666667,21.095716666666668,8,NO VERDICT: n<30,"523,532,547,548,559,575,585,589,591","575,585,591"
confirm_rule,15m_close,3,0,3,0,-266.0,-88.66666666666667,-147.36949378011252,-29.96383955322083,3,0.0,0.0,0.5615060804490177,0,,,9.709041666666666,12.6444,18.979208333333332,3,NO VERDICT: n<30,"531,563,564",
confirm_rule,1x5m_close,29,5,23,1,-1135.0,-39.13793103448276,-67.14014123262561,-11.135720836339917,28,0.17857142857142858,0.07878385829430107,0.35591791548591095,2,-0.37218045112781956,-0.3721804511278195,12.22825,25.967683333333333,73.415,9,NO VERDICT: n<30,"528,533,534,535,540,541,544,547,548,549,550,551,552,553,554,555,559,560,561,562,565,567,568,569,570,583,588,589,590","568,570"
confirm_rule,2x5m_close,10,5,4,1,449.5,44.95,-32.20621178708382,122.10621178708382,9,0.5555555555555556,0.26664734574402965,0.8112245705280859,0,,,19.201183333333333,47.03196666666667,74.85114166666666,3,NO VERDICT: n<30,"529,532,536,537,538,542,543,556,557,558",
confirm_rule,None,7,3,4,0,268.5714280000029,38.367346857143275,-64.43347355755415,141.1681672718407,7,0.42857142857142855,0.1582169222626268,0.7495457695909742,0,,,22.658250000000002,37.59486666666667,55.67555,2,NO VERDICT: n<30,"521,522,523,524,525,526,527",
confirm_rule,touch,9,5,4,0,216.5,24.055555555555557,-49.36717337395774,97.47828448506885,9,0.5555555555555556,0.26664734574402965,0.8112245705280859,7,0.42567715352031676,0.38011695906432746,9.545233333333334,15.5175,42.09035,4,NO VERDICT: n<30,"575,578,581,582,584,585,586,587,591","575,578,582,584,585,586,591"
path,arm-associated,11,6,5,0,94.5,8.590909090909092,-41.652319630946494,58.83413781276468,11,0.5454545454545454,0.2800877556899882,0.7872904245601196,9,0.24837546359850868,0.2556390977443609,5.69525,15.5175,38.910875000000004,4,NO VERDICT: n<30,"567,568,569,570,575,578,582,584,585,586,591","568,570,575,578,582,584,585,586,591"
path,decision,47,12,33,2,-560.9285719999971,-11.934650468085044,-43.227424108926584,19.3581231727565,45,0.26666666666666666,0.15964748860054626,0.4103911669717529,0,,,13.236125,29.7528,66.88185,9,descriptive; no demonstrated positive edge,"521,522,523,524,525,526,527,528,529,531,532,533,534,535,536,537,538,540,541,542,543,544,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,581,583,587,588,589,590",
thesis,continuation_candidate,20,2,17,1,-1013.4285719999971,-50.67142859999986,-93.0749113691493,-8.267945830850401,19,0.10526315789473684,0.029357941395096582,0.31394550494841694,0,,,17.6442625,33.673833333333334,79.08805416666667,6,NO VERDICT: n<30,"522,525,526,527,528,531,532,534,540,541,542,543,556,557,558,562,563,588,589,590",
thesis,failed_break_reversal,6,1,5,0,-207.0,-34.5,-86.27640904247158,17.27640904247159,6,0.16666666666666666,0.030052585871730285,0.563509436563646,3,-0.35845896147403683,-1.0,9.5771875,14.634875,20.117449999999998,5,NO VERDICT: n<30,"559,561,568,578,583,586","568,578,586"
thesis,hold_other,1,1,0,0,168.0,168.0,,,1,1.0,0.20654329147389294,1.0,0,,,38.407066666666665,38.407066666666665,38.407066666666665,1,NO VERDICT: n<30,555,
thesis,range_rejection,31,14,16,1,586.0,18.903225806451612,-18.257530599509746,56.06398221241297,30,0.4666666666666667,0.3023212722412823,0.6385798671847496,6,0.5517926761347814,0.3178780284043442,10.886741666666666,25.967683333333333,59.33385833333334,11,descriptive; no demonstrated positive edge,"521,523,524,529,533,535,536,537,538,544,547,548,549,550,551,552,553,554,560,564,565,567,569,570,575,581,582,584,585,587,591","570,575,582,584,585,591"
era,0B_pre_strict,3,0,3,0,-394.0,-131.33333333333334,-164.1369130837881,-98.5297535828786,3,0.0,0.0,0.5615060804490177,1,-1.0,-1.0,13.86835,15.5175,16.946791666666666,2,NO VERDICT: n<30,"589,590,591",591
