symbol,tf,open_time_ms,o,h,l,c,v
MNQ,1m,1788350580000,29078.0,29083.25,29076.25,29082.0,778.0
MNQ,1m,1788350640000,29081.75,29089.25,29079.75,29086.75,1135.0
MNQ,1m,1788350700000,29086.25,29106.25,29086.0,29104.0,2477.0
MNQ,1m,1788350760000,29104.25,29108.25,29097.5,29105.5,1475.0
MNQ,1m,1788350820000,29104.75,29106.25,29101.0,29104.25,981.0
MNQ,1m,1788350880000,29104.5,29107.0,29102.5,29104.0,743.0
MNQ,1m,1788350940000,29104.25,29105.75,29089.5,29091.25,1413.0
MNQ,1m,1788351000000,29091.25,29092.75,29080.75,29090.25,1779.0
MNQ,1m,1788351060000,29090.75,29096.5,29085.75,29092.25,1054.0
MNQ,1m,1788351120000,29092.75,29100.25,29086.5,29091.25,829.0
MNQ,1m,1788351180000,29091.75,29108.0,29091.75,29103.0,916.0
MNQ,1m,1788351240000,29102.5,29124.0,29102.25,29123.75,1649.0
MNQ,1m,1788351300000,29120.75,29124.0,29098.75,29102.0,1623.0
MNQ,1m,1788351360000,29102.0,29103.75,29095.0,29101.0,1092.0
MNQ,1m,1788351420000,29101.25,29108.25,29100.25,29102.0,581.0
MNQ,1m,1788351480000,29101.75,29111.5,29098.0,29107.0,994.0
MNQ,1m,1788351540000,29107.0,29108.0,29097.0,29099.25,945.0
MNQ,1m,1788351600000,29098.75,29140.25,29094.5,29137.75,4272.0
MNQ,1m,1788351660000,29137.25,29149.25,29127.75,29131.5,4612.0
MNQ,1m,1788351720000,29131.75,29132.75,29121.5,29121.5,1868.0
MNQ,1m,1788351780000,29121.5,29136.25,29110.5,29116.75,1903.0
MNQ,1m,1788351840000,29116.25,29128.5,29116.25,29128.25,1122.0
MNQ,1m,1788351900000,29126.75,29135.75,29117.25,29117.5,2245.0
MNQ,1m,1788351960000,29118.75,29120.0,29112.25,29113.5,992.0
MNQ,1m,1788352020000,29113.75,29115.75,29105.0,29108.0,1032.0
MNQ,1m,1788352080000,29107.75,29112.75,29105.25,29110.5,808.0
MNQ,1m,1788352140000,29110.5,29113.75,29103.25,29107.75,999.0
MNQ,1m,1788352200000,29107.5,29110.75,29100.25,29101.0,1007.0
MNQ,1m,1788352260000,29101.0,29103.25,29095.25,29095.25,1533.0
MNQ,1m,1788352320000,29095.0,29097.0,29085.25,29088.25,1608.0
MNQ,1m,1788352380000,29088.75,29092.75,29085.25,29086.0,983.0
MNQ,1m,1788352440000,29085.75,29091.0,29079.25,29087.25,1524.0
MNQ,1m,1788352500000,29087.0,29090.75,29086.25,29086.75,675.0
MNQ,1m,1788352560000,29087.25,29091.5,29085.0,29087.25,651.0
MNQ,1m,1788352620000,29087.0,29087.75,29079.25,29081.0,947.0
MNQ,1m,1788352680000,29080.75,29083.0,29068.5,29070.0,2014.0
MNQ,1m,1788352740000,29069.75,29079.25,29067.0,29078.25,1223.0
MNQ,1m,1788352800000,29077.75,29086.0,29073.5,29080.25,1212.0
MNQ,1m,1788352860000,29080.75,29083.25,29076.75,29080.5,635.0
MNQ,1m,1788352920000,29081.0,29081.25,29071.5,29072.25,705.0
MNQ,1m,1788352980000,29072.0,29074.75,29068.75,29071.25,791.0
MNQ,1m,1788353040000,29071.5,29073.25,29067.5,29069.75,537.0
MNQ,1m,1788353100000,29069.25,29071.75,29063.5,29067.75,1017.0
MNQ,1m,1788353160000,29067.25,29069.25,29059.5,29061.0,1241.0
MNQ,1m,1788353220000,29061.5,29067.5,29056.75,29067.25,1390.0
MNQ,1m,1788353280000,29067.5,29067.5,29060.0,29061.25,701.0
MNQ,1m,1788353340000,29061.25,29062.5,29054.75,29056.5,1052.0
MNQ,1m,1788353400000,29056.25,29058.75,29053.5,29058.25,805.0
MNQ,1m,1788353460000,29058.5,29058.5,29048.0,29050.25,1209.0
MNQ,1m,1788353520000,29050.25,29052.25,29041.5,29044.5,1347.0
MNQ,1m,1788353580000,29044.25,29046.0,29039.0,29043.25,1512.0
MNQ,1m,1788353640000,29043.5,29047.0,29041.5,29042.25,920.0
MNQ,1m,1788353700000,29042.75,29044.25,29037.0,29039.25,1499.0
MNQ,1m,1788353760000,29040.0,29042.75,29034.5,29039.75,1479.0
MNQ,1m,1788353820000,29039.25,29040.25,29036.25,29039.5,778.0
MNQ,1m,1788353880000,29039.75,29041.25,29034.75,29035.0,876.0
MNQ,1m,1788353940000,29034.75,29041.5,29033.0,29040.0,826.0
MNQ,1m,1788354000000,29040.25,29055.0,29037.75,29047.0,3164.0
MNQ,1m,1788354060000,29047.25,29050.0,29044.25,29048.25,1156.0
MNQ,1m,1788354120000,29047.75,29060.25,29047.75,29056.0,1798.0
MNQ,1m,1788354180000,29055.75,29058.5,29052.0,29052.5,1130.0
MNQ,1m,1788354240000,29052.75,29058.0,29052.0,29054.0,858.0
MNQ,1m,1788354300000,29054.0,29061.0,29050.0,29058.0,1692.0
MNQ,1m,1788354360000,29058.5,29066.5,29055.0,29063.75,1521.0
MNQ,1m,1788354420000,29064.0,29066.0,29061.0,29061.75,640.0
MNQ,1m,1788354480000,29061.75,29067.0,29061.25,29066.75,753.0
MNQ,1m,1788354540000,29066.5,29070.0,29061.75,29062.75,950.0
MNQ,1m,1788354600000,29062.0,29066.25,29059.5,29061.25,796.0
MNQ,1m,1788354660000,29061.25,29066.75,29060.75,29062.75,750.0
MNQ,1m,1788354720000,29063.0,29064.0,29059.25,29063.5,440.0
MNQ,1m,1788354780000,29064.0,29070.25,29061.25,29068.0,1106.0
MNQ,1m,1788354840000,29067.75,29070.75,29066.25,29067.75,758.0
MNQ,1m,1788354900000,29067.75,29072.5,29062.75,29068.75,766.0
MNQ,1m,1788354960000,29068.25,29074.5,29066.25,29071.75,947.0
MNQ,1m,1788355020000,29071.5,29073.5,29068.0,29072.25,622.0
MNQ,1m,1788355080000,29072.0,29079.75,29071.25,29078.25,1175.0
MNQ,1m,1788355140000,29078.5,29080.75,29074.0,29075.25,922.0
MNQ,1m,1788355200000,29075.5,29080.5,29072.0,29073.25,1210.0
MNQ,1m,1788355260000,29073.5,29080.5,29071.75,29078.75,1056.0
MNQ,1m,1788355320000,29077.5,29086.25,29077.5,29084.0,1555.0
MNQ,1m,1788355380000,29084.75,29092.0,29083.5,29090.25,1400.0
MNQ,1m,1788355440000,29090.0,29091.5,29086.0,29089.25,1086.0
MNQ,1m,1788355500000,29089.25,29090.25,29077.75,29082.0,2436.0
MNQ,1m,1788355560000,29082.5,29101.5,29081.75,29100.0,2398.0
MNQ,1m,1788355620000,29100.0,29110.0,29097.5,29110.0,3521.0
MNQ,1m,1788355680000,29110.0,29115.5,29103.75,29108.25,2686.0
MNQ,1m,1788355740000,29107.75,29110.5,29095.0,29098.25,2891.0
MNQ,1m,1788355800000,29098.25,29102.0,29042.75,29065.0,17792.0
MNQ,1m,1788355860000,29065.0,29083.75,29044.5,29055.25,14904.0
MNQ,1m,1788355920000,29055.0,29084.75,29052.5,29079.25,10217.0
MNQ,1m,1788355980000,29079.25,29087.25,29061.25,29072.5,9374.0
MNQ,1m,1788356040000,29072.75,29087.75,29066.75,29083.5,8815.0
MNQ,1m,1788356100000,29083.75,29091.0,29057.25,29066.0,10506.0
MNQ,1m,1788356160000,29065.25,29070.75,29049.5,29051.25,9594.0
MNQ,1m,1788356220000,29052.0,29061.0,29036.75,29048.5,10900.0
MNQ,1m,1788356280000,29047.75,29062.0,29039.5,29057.0,6977.0
MNQ,1m,1788356340000,29056.75,29088.0,29052.75,29087.0,8298.0
MNQ,1m,1788356400000,29087.0,29109.0,29075.5,29100.0,11827.0
MNQ,1m,1788356460000,29099.75,29112.5,29091.5,29107.75,8257.0
MNQ,1m,1788356520000,29107.75,29119.0,29100.75,29110.0,7318.0
MNQ,1m,1788356580000,29109.75,29110.5,29081.0,29083.0,8696.0
MNQ,1m,1788356640000,29083.25,29100.0,29082.0,29090.25,4671.0
MNQ,1m,1788356700000,29090.5,29113.0,29068.75,29079.25,12647.0
MNQ,1m,1788356760000,29079.5,29083.5,29049.0,29064.5,10964.0
MNQ,1m,1788356820000,29064.5,29086.75,29061.25,29079.0,7235.0
MNQ,1m,1788356880000,29078.75,29082.5,29061.75,29064.25,5158.0
MNQ,1m,1788356940000,29064.25,29065.75,29041.75,29047.75,6946.0
MNQ,1m,1788357000000,29048.25,29073.5,29048.25,29068.25,7343.0
MNQ,1m,1788357060000,29068.25,29068.75,29033.75,29037.5,7831.0
MNQ,1m,1788357120000,29037.25,29057.25,29035.0,29044.5,7436.0
MNQ,1m,1788357180000,29044.0,29063.75,29040.25,29040.25,6789.0
MNQ,1m,1788357240000,29041.5,29044.25,29025.0,29029.5,9566.0
MNQ,1m,1788357300000,29030.0,29034.5,29017.25,29030.75,8945.0
MNQ,1m,1788357360000,29030.5,29052.0,29025.75,29051.0,8759.0
MNQ,1m,1788357420000,29051.0,29054.0,29027.25,29027.25,7382.0
MNQ,1m,1788357480000,29027.75,29043.75,29023.5,29029.5,4051.0
